,variantid,gene_symbol,variant_dsi,variant_dpi,variant_consequence_type,diseaseid,disease_name,disease_class,disease_class_name,disease_type,disease_semantic_type,score,ei,year_initial,year_final,source,disease_id
314,rs11877758,CELF4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
315,rs11899745,REV1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
316,rs11924809,DGKG,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
317,rs11934750,LOC105374552,1.0,0.04,downstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2014,2014,ALL,EFO_0003761
318,rs11990063,MSRA,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
319,rs12030991,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
320,rs12036147,CHRM3,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
321,rs12052908,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
322,rs12065553,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
323,rs12068879,KAZN,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
324,rs12073845,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
325,rs1210358,RSRC1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
326,rs12118513,DENND1B,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
327,rs12128108,AGBL4,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
328,rs12129573,LOC105378800,0.925,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
329,rs12129942,LINC02797,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
330,rs12137398,CAMTA1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
331,rs12137936,NEGR1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
332,rs12180309,None,0.925,0.08,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
333,rs12180499,OSTM1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
334,rs12189861,DCDC2,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
335,rs12251644,LOC105376375,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
336,rs12255709,None,1.0,0.04,downstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
337,rs1226412,LINC01876,1.0,0.04,non coding transcript exon variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2019,ALL,EFO_0003761
338,rs12315711,CACNA1C,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2011,2011,ALL,EFO_0003761
339,rs12325410,LOC101927026,0.851,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
340,rs1233393,GABBR1;SNORD32B,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
341,rs12357812,LOC105376375,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
342,rs12376738,FAM120A,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
343,rs12407717,None,0.925,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
344,rs12413638,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
345,rs12420205,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
346,rs12424245,CACNA1C,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2011,2011,ALL,EFO_0003761
347,rs12443954,None,0.851,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
348,rs12457157,TCF4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
349,rs12464785,TXNDC9,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
350,rs12487445,PBRM1,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
351,rs12487591,PBRM1,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
352,rs12488461,PBRM1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
353,rs12496634,PBRM1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
354,rs12497998,NEK4,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
355,rs12544026,NCALD,0.925,0.08,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
356,rs12552,OLFM4,1.0,0.04,3 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2019,ALL,EFO_0003761
357,rs12555870,None,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
358,rs12567,OSTM1,1.0,0.04,3 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
359,rs12576775,TENM4,0.827,0.08,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
360,rs1261070,TCF4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
361,rs1261114,TCF4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
362,rs12624433,SLC12A5,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
363,rs12635140,SPCS1;GLT8D1,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
364,rs1265099,PSORS1C1;PSORS1C2,0.925,0.04,3 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
365,rs12666117,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
366,rs12667733,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
367,rs12713370,VRK2,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
368,rs12738490,RPRD2,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
369,rs12775823,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
370,rs12871532,None,0.851,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
371,rs12898460,LINC02694,0.882,0.08,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2011,2011,ALL,EFO_0003761
372,rs12912233,RORA,0.851,0.12,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2010,2010,ALL,EFO_0003761
373,rs12923444,METTL9,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
374,rs12932870,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
375,rs12938031,LINC02210-CRHR1,0.851,0.16,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
376,rs12938775,PAFAH1B1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
377,rs12943181,PRKAR1A;ARSG;WIPI1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
378,rs12958048,TCF4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
379,rs12963231,None,1.0,0.04,TF binding site variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
380,rs12963463,TCF4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
381,rs12966052,LOC105372125,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
382,rs12966547,LOC105372125,0.827,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
383,rs12967143,TCF4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2019,ALL,EFO_0003761
384,rs12967855,CELF4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2019,ALL,EFO_0003761
385,rs12968428,DCC,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
386,rs13011737,SLC8A1-AS1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
387,rs1304150,None,1.0,0.04,regulatory region variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
388,rs13060816,BBX,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
389,rs13063160,PBRM1;SMIM4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
390,rs13064064,PBRM1,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
391,rs13068293,PBRM1,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
392,rs13071584,NEK4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
393,rs13072940,None,0.851,0.04,regulatory region variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
394,rs13084037,KLHDC8B,1.0,0.04,downstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
395,rs13122395,EMCN,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
396,rs13137453,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
397,rs13191038,GPX6,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
398,rs13194504,None,0.925,0.12,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
399,rs13197574,ZNF165;ZSCAN12P1;ZSCAN16-AS1,0.925,0.08,non coding transcript exon variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
400,rs13218591,BTN3A2,0.925,0.04,3 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
401,rs1322281,PTPRD,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
402,rs1322944,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
403,rs13296664,None,1.0,0.04,downstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
404,rs1333049,CDKN2B-AS1,0.614,0.52,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
405,rs13381817,TCF4,1.0,0.04,non coding transcript exon variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
406,rs13413953,ARHGAP15,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
407,rs13418455,None,0.851,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
408,rs1343605,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
409,rs1353703,None,1.0,0.04,regulatory region variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
410,rs1354115,CARM1P1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2019,ALL,EFO_0003761
411,rs1360380,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
412,rs1375194,LOC105374455,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
413,rs1380551,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
414,rs138472420,BICRA,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
415,rs1391511,LINC00705;MANCR;LOC105376373,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
416,rs139459337,ZBTB20,0.882,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
417,rs140395831,ARHGAP8;PRR5-ARHGAP8;LOC105373062,1.0,0.04,missense variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
418,rs1409379,None,1.0,0.04,downstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
419,rs1411216,None,0.925,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
420,rs141252918,CCDC170,0.882,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
421,rs1413573,PCDH9,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
422,rs141746753,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
423,rs141954845,FHIT,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
424,rs141980369,MCM9,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
425,rs142029931,CNTNAP1,1.0,0.04,missense variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
426,rs1422192,LINC00461,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
427,rs142383097,DFFA,1.0,0.04,3 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
428,rs142484554,SPSB4,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
429,rs142641502,CSTF3,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
430,rs1427027,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
431,rs1431181,DCC,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
432,rs143186028,EMILIN3,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
433,rs1432639,LOC105378797,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
434,rs143405544,ADAMTS6,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
435,rs143502921,CDH4,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
436,rs143696449,ANO8,1.0,0.04,missense variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
437,rs143916815,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
438,rs143934587,None,0.925,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
439,rs144369419,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
440,rs1443852,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
441,rs144733372,PLEKHM1,0.882,0.12,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
442,rs1448094,None,1.0,0.04,regulatory region variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
443,rs1448938,DCDC1;LOC105376611,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
444,rs145097508,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
445,rs1452787,TCF4,0.827,0.16,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
446,rs1452788,TCF4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
447,rs145440507,LOC339975,1.0,0.04,regulatory region variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
448,rs1457257,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
449,rs1466887,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
450,rs147121091,POM121L2,0.925,0.12,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
451,rs1475120,LIN28B;LIN28B-AS1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
